sys,msg,itr,dvfs,rapl,rnd_mean,joules_mean,time_mean,edp_mean,llcmiss_total_mean,cycles_total_mean,ins_total_mean,gov_mean,tput_mean,eput_mean,rnd_std,joules_std,time_std,edp_std,llcmiss_total_std,cycles_total_std,ins_total_std,gov_std,tput_std,eput_std
linux,64,28,0x1100,135,4.5,5.905797016,0.2865075524163974,0.8460279983544237,5396090029168.5,363529711146919.9,194197893602812.2,0.0,1116899.1055447883,10.836944043792084,3.0276503540974913,0.021933735214267263,9.095381771278836e-05,0.0032340367666986113,3269289257730.609,218864551355657.66,116338613703848.94,0.0,354.5841277112922,0.040110766034503594
linux,64,28,0x1200,135,4.5,6.066506179999999,0.28641032276218026,0.8687564627236195,5389995263890.8,363133023020612.5,193988331794805.0,0.0,1117280.8866547942,10.549808931386773,3.0276503540974917,0.017530637109644462,0.00047116665221428813,0.003338569036263202,3269997786692.5522,218798089660714.03,116293829463855.98,0.0,1837.9118394994089,0.03049161882996404
linux,64,28,0x1500,135,4.5,6.547032898,0.28623628256423533,0.9370030012908857,5381793710898.7,362378311572953.8,193550494457682.1,0.0,1117960.557769206,9.775506061637245,3.0276503540974917,0.020395842422265907,0.0004985829193370459,0.004373502277918051,3277092783320.521,219188224170776.28,116522677307621.64,0.0,1947.996462130343,0.030495516690538776
linux,64,28,0x1600,135,4.5,6.747558454,0.28609248427327044,0.965215158342291,5375640527489.8,361862410711090.8,193266465914088.1,0.0,1118520.8341474268,9.485001494238253,3.0276503540974917,0.02178982121533329,0.00033842002589462984,0.003982937657072136,3275517527777.699,219044017291532.8,116445243952930.7,0.0,1326.9266692965343,0.030698437571691727
linux,64,28,0x1700,135,4.5,6.959013222,0.28611207452140497,0.9955311416845077,5373525269282.3,361611845562063.8,193120571309330.9,0.0,1118444.2126973905,9.196789636406058,3.0276503540974917,0.02208914392362505,0.0003341443848851403,0.004044937348330404,3277037517138.249,219117668184269.8,116489990364306.88,0.0,1309.9173351476475,0.02920910712628418
linux,64,28,0x1800,135,4.5,7.116220215999999,0.28627624764698195,1.0186039207149957,3318240237235.9,219760941087501.6,104263259973962.3,0.0,1117803.718918664,8.993597477903911,3.0276503540974917,0.019205654523147098,0.0004310634777084007,0.003650115598387429,2049100885831.7588,133218634861031.2,62700351756776.42,0.0,1686.4185423764602,0.024309313678222044
linux,64,28,0x1900,135,4.5,7.2389441880000005,0.2833667249540431,1.0258542258077172,3281463989943.0,217172536028175.5,102999492922441.3,0.0,1129514.0188899203,8.843047075967688,3.0276503540974917,0.11327226367509678,0.004279167585865402,0.03123273241362665,2038561266753.2407,132533065678128.1,62375627867462.016,0.0,17316.56190119861,0.140516614040571
linux,64,28,0x1A00,135,4.5,7.5073813220000005,0.2856885854443398,1.0724123709834195,3292558503887.4,217685487674334.7,103195938880207.5,0.0,1120138.5903018732,8.525120886314777,3.0276503540974917,0.03601165224973046,0.0017453417065897649,0.01140506483342412,2025643872584.0686,131588505871346.12,61912789842479.55,0.0,6881.491114116745,0.041138639476988426
linux,64,28,0x1B00,135,4.5,7.416173828,0.27354684339546326,1.015437969687257,3182893866824.2,210242008212839.2,99627716677416.8,0.0,1171163.3632890543,8.638852408846489,3.0276503540974917,0.25211217374608674,0.009745647877529318,0.07034928246382324,1999023434662.3835,130023367238881.64,61207895781857.914,0.0,41981.35183932887,0.2964276026615876
linux,64,28,0x1C00,135,4.5,7.750172500000001,0.27797527157767987,1.0783007760723842,3208320757177.2,211789918347007.2,100334066916789.2,0.0,1152444.5842256283,8.26660551582896,3.0276503540974917,0.2614177290186576,0.009560357440205029,0.07230039301440834,1997439134999.0332,129870658593691.34,61116356078529.3,0.0,40817.64875905681,0.28748530062506067
