ITR MSG DVFS RAPL TPUT LAT PK0_JOULE PK1_JOULE START_RDTSC END_RDTSC
0 8192 0x1000 85 1978.705128 0.33845 5.399673 6.578873 684443535290941 684444450978549
0 8192 0x1000 75 1971.111261 0.339927 5.437744 6.596603 684583521158092 684584440348225
0 8192 0x1000 65 1964.025629 0.340916 5.444717 6.638977 684725275998277 684726198516793
0 8192 0x1000 55 1984.278312 0.33711 5.393433 6.557236 684865273428251 684866186535889
0 8192 0x1000 45 1974.143884 0.338541 5.439621 6.59613 685004940287227 685005858114176
0 65536 0x1000 135 4792.25142 1.065562 17.897919 21.961777 683775657426344 683778682137981
0 65536 0x1000 125 4725.549308 1.079926 18.106293 22.304214 683915304027410 683918371451247
0 65536 0x1000 115 4779.119065 1.069132 17.923981 22.015564 684054956789004 684057989390090
0 65536 0x1000 105 4808.783867 1.062037 17.818878 21.916672 684194620585895 684197634527171
0 65536 0x1000 95 4643.685521 1.098546 18.470764 22.762329 684334243489422 684337365139656
0 65536 0x1000 85 4810.291672 1.061715 17.838272 21.888565 684474005907708 684477019527055
0 65536 0x1000 75 4788.180057 1.066578 17.901855 21.975739 684616077188080 684619104463621
0 65536 0x1000 65 4810.342427 1.061966 17.842682 21.907776 684755758141219 684758771676937
0 65536 0x1000 55 4803.636664 1.063146 17.796555 21.915237 684895761862742 684898779300591
0 65536 0x1000 45 4836.885161 1.056191 17.712112 21.799606 685035428455508 685038425458573
0 524288 0x1000 135 6816.531458 5.890401 100.615982 124.65036 683808249389320 683825263260004
0 524288 0x1000 125 6820.484492 5.887038 100.618835 124.570084 683947931157960 683964934897726
0 524288 0x1000 115 6812.68536 5.894041 100.720245 124.720322 684087562687320 684104586343170
0 524288 0x1000 105 6818.647487 5.888963 100.722336 124.545517 684227198292115 684244206459289
0 524288 0x1000 95 6810.446409 5.896182 100.755386 124.837051 684366932131778 684383960588810
0 524288 0x1000 85 6829.49089 5.879498 100.543869 124.449921 684506583284336 684523565299252
0 524288 0x1000 75 6810.101958 5.895845 100.686676 124.798157 684648674763716 684665704969208
0 524288 0x1000 65 6799.798663 5.905411 100.89682 124.934204 684788643851669 684805699111059
0 524288 0x1000 55 6816.731425 5.890564 100.701218 124.599625 684928356750418 684945370042878
0 524288 0x1000 45 6815.551184 5.890926 100.740891 124.620682 685067999336064 685085013750577
0 64 0x1100 135 32.157421 0.173287 2.587463 3.227646 682360474297957 682360914334635
0 64 0x1100 125 32.250851 0.172787 2.608063 3.212082 682499836682478 682500275409132
