,sys,rnd,msg,itr,dvfs,rapl,joules,time,edp,llcmiss_total,cycles_total,ins_total,num_interrupts
1841,linux,9,65536,40,0x1200,135,1857113.0,3898143469.0,3619646456072498.5,33431111415407,4640569977497747.0,3211838509191400,32249
1842,ebbrt,1,65536,24,0x1200,135,1106473.0,2528696769.0,1398967350042868.5,121358268,148660033067.0,122997838661,34618
1843,ebbrt,0,65536,6,0xF00,135,910849.0,2082686387.0,948506406456281.5,155875167,194410079051.0,104240837178,87313
1844,linux,3,8192,24,0xF00,135,589374.0,1304284473.0,384355678494951.0,6172520419083,584926945694967.0,349462480834512,18310
1845,ebbrt,4,64,12,0x1600,135,275439.0,505833352.0,69663116320764.0,54016931,19894605274.0,2257689927,7464
1846,linux,2,8192,24,0xF00,135,598278.0,1321861173.0,395420229430047.0,4009002912979,409698946935868.0,246420341430598,18570
1847,ebbrt,7,64,28,0x1B00,135,330597.0,826495882.0,136618529550777.0,6115301,8332310842.0,3792239796,9986
1848,linux,9,64,0,0x1700,135,242267.0,417440315.0,50566006397052.5,4986536604948,331735130650193.0,176129162708650,14983
1849,linux,5,65536,40,0x1B00,135,2440526.0,4083911804.0,4983446469684452.0,15987740993886,2304067614942520.0,1566902389844669,33850
1850,linux,8,524288,8,0x1C00,135,9956553.0,13844083369.0,6.891967489993353e+16,295254324912995,3.504240261784704e+16,26467679634089849,491016
1851,ebbrt,2,524288,20,0x1D00,135,7473093.0,13991506333.0,5.2279914018298984e+16,4720018986,6026273762294.0,4243332420198,226413
1852,ebbrt,0,524288,36,0x1B00,135,7482789.0,14032551268.0,5.2501310135063224e+16,4537366071,5841784820288.0,5558208175863,129483
1853,linux,9,8192,32,0x1900,135,727046.0,1252178327.0,455195621966021.0,18772057586349,1608522653910843.0,954063745154670,13146
1854,linux,3,65536,24,0x1900,135,1678368.0,2751198364.0,2308761647894976.0,4580651866228,668091997761274.0,468241301452885,38618
1855,linux,4,65536,32,0x1900,135,1957446.0,3288546720.0,3218576311438560.0,10342142210333,1385751919215396.0,970082033945336,34390
1856,linux,5,524288,1,0x1900,135,8639819.0,14607224648.0,6.310188852552936e+16,1041229335262,113394639826401.0,72989799830227,97610
1857,ebbrt,2,64,60,0x1500,135,705058.0,1774909356.0,625707020361324.0,13510894,17313810436.0,7826601781,9983
