sys i itr dvfs rapl QPS time joule ins cyc refcyc llcm c3 c6 c7 read_5th read_10th read_50th read_90th read_95th read_99th RDTSC_START RDTSC_END
linux 1 1 0x1b00 95 199906.8 30.01 3101.32 315143319035 448475619059 482053968821 517436283 2515150280 0 1397922663156 44.1 45.6 50.6 59.1 62.1 69.5 77313673169461 77400688750440
linux 2 1 0x1b00 95 199953.4 30.01 3100.95 403614689839 491430073218 528174831873 602107633 3545662728 0 1350590061320 44.6 45.7 50.7 59.1 62.0 69.1 77665452347979 77752467125953
linux 3 1 0x1b00 95 199967.0 30.01 3115.07 429255011724 505124524303 542879747584 622711384 4110247865 0 1342194237477 43.8 45.5 50.5 59.0 61.9 69.3 78016431700314 78103447109701
linux 4 1 0x1b00 95 199967.4 30.01 3088.47 414903753500 496913627989 534136935957 604205779 3256663895 0 1368108772530 45.8 46.7 52.6 60.2 64.2 71.7 78364929996388 78451945887963
linux 0 1 0x1b00 55 199936.5 30.01 3096.4 312497013176 446277211007 479699292129 514932839 2948753292 0 1406066429468 44.9 45.8 51.0 59.3 62.5 69.9 78717959014145 78804974608296
linux 1 1 0x1b00 55 200069.8 30.01 3161.8 312795430727 448020060190 481557522635 519502571 2560118028 0 1411737967936 45.5 46.3 51.9 59.8 63.3 70.5 79067563054852 79154578341539
linux 2 1 0x1b00 55 199889.3 30.01 3128.89 328633510777 451979681636 485890166686 516475557 2375675418 0 1402071055910 44.7 45.8 50.9 59.3 62.4 69.9 79419668442643 79506684062822
linux 3 1 0x1b00 55 199951.3 30.01 3074.9 313586745243 447219854088 480639640706 519968758 2621627463 0 1399377516509 43.4 45.4 50.1 58.8 61.3 68.9 79772534415669 79859550079675
linux 4 1 0x1b00 55 200124.6 30.01 3259.87 330001874503 452177742653 486076574597 515294365 2841859524 0 1394019305786 43.8 45.5 50.3 58.9 61.4 68.0 80124165210962 80211180142671
linux 0 1 0x1b00 135 399913.1 30.01 3646.58 636750753965 812794097608 873415139586 975796595 4068328394 0 2055356379419 45.6 46.7 54.3 65.7 71.3 86.3 80473190207266 80560205639560
linux 1 1 0x1b00 135 400141.0 30.01 3609.63 621085556326 811231596670 871728194564 992536160 5204822676 0 2057622100003 45.5 46.6 54.2 65.7 71.4 87.3 80924708431312 81011724249495
linux 2 1 0x1b00 135 400136.0 30.01 3632.41 648582279973 819820048151 880904324249 992237957 4257654372 0 2059247719943 45.6 46.7 54.3 65.7 71.2 85.7 81378869336195 81465885031984
linux 3 1 0x1b00 135 399814.5 30.01 3629.28 620943215282 810550580719 870978218517 990667051 4983150388 0 2055282637436 45.7 46.9 54.5 66.1 72.0 88.1 81831786620969 81918801974064
linux 4 1 0x1b00 135 399988.4 30.01 3588.42 637026950406 814017236924 874593337376 997414500 3882068035 0 2049978314484 45.1 46.2 53.7 65.2 70.6 85.1 82282354312637 82369370098989
linux 0 1 0x1b00 95 400178.4 30.01 3611.22 618232053499 806502008803 866681334482 971166526 4304872752 0 2054428458212 45.5 46.6 54.1 65.4 70.8 84.1 82735572539865 82822587554493
linux 1 1 0x1b00 95 399888.4 30.01 3634.07 702576461018 845948872102 909119289464 1051391969 4332463613 0 2019655798803 44.2 45.9 53.5 65.1 70.6 86.6 83188015990719 83275031354169
linux 2 1 0x1b00 95 400142.2 30.01 3682.29 677664374573 834999380448 897357323449 1032686021 3952576837 0 2029084103730 45.3 46.4 54.0 65.4 70.9 84.7 83639894591057 83726909981416
linux 3 1 0x1b00 95 399907.5 30.01 3633.31 668385569686 827454721831 889147447084 1005446904 4043406519 0 2043492030296 44.6 46.1 53.5 65.1 70.5 85.3 84093479052186 84180494195121
linux 4 1 0x1b00 95 399945.4 30.01 3567.28 715822897675 849424635685 912801335132 1023852381 3975238771 0 2004259261918 45.9 47.2 54.8 66.1 71.5 85.1 84546071259071 84633086575549
linux 0 1 0x1b00 55 400171.6 30.01 3389.57 643774420035 813114107840 922613689176 1007050896 4030769189 0 2056839700187 45.7 46.9 55.1 68.3 74.3 92.5 84997949587355 85084965255152
linux 1 1 0x1b00 55 399961.7 30.01 3402.27 507010798228 744021845066 847470512045 903425277 2987760902 0 2131692649755 45.6 46.9 55.0 68.1 73.9 91.9 85451401869590 85538417148276
linux 2 1 0x1b00 55 399998.5 30.01 3402.38 516647938985 750330224398 854011408337 908149811 2922298448 0 2119467854992 45.9 47.2 55.4 68.7 74.7 91.0 85905626771441 85992641310760
linux 3 1 0x1b00 55 399980.3 30.01 3462.22 479334039645 730940927519 833809417433 874414866 3018868796 0 2128763490690 45.8 47.0 55.1 68.0 74.2 93.2 86359783042437 86446797527218
linux 4 1 0x1b00 55 400025.3 30.01 3448.78 518056912882 751163509627 855312428348 911094567 3185093287 0 2122490756354 46.0 47.4 55.5 68.8 74.8 92.3 86812174280450 86899189877202
linux 0 1 0x1b00 135 599804.2 30.01 4057.79 665209972334 1041082175831 1118600324072 1930704795 3019125968 0 2656943617876 47.4 50.2 60.4 80.6 91.5 126.4 87265363489535 87352379314685
linux 1 1 0x1b00 135 600155.6 30.01 4190.27 677839979486 1047916847824 1126111522374 1942033158 2848757261 0 2635903124684 46.7 49.3 59.5 79.5 89.9 122.9 87791022304008 87878038658240
linux 2 1 0x1b00 135 599745.9 30.01 4134.07 662435244316 1037534120729 1114940101020 1897736953 2665794231 0 2624656575611 47.5 50.2 60.2 80.3 91.2 126.2 88316474685631 88403490063894
linux 3 1 0x1b00 135 600284.5 30.01 4252.18 710114594658 1060410665341 1139324025150 1943459183 2764324022 0 2636977953627 47.3 50.1 60.3 80.3 91.5 127.7 88842800457801 88929816382457
linux 4 1 0x1b00 135 599803.9 30.01 4065.28 698644335936 1055011057679 1133715396063 1940673858 2938264137 0 2649275355777 47.0 49.8 59.9 80.4 91.9 126.0 89370183470787 89457198592662
linux 0 1 0x1b00 95 599909.9 30.01 4118.52 676567727734 1049716206392 1127881574697 1946624293 3289006145 0 2651025285116 47.6 50.2 60.5 81.4 93.0 128.6 89896253945272 89983269459472
linux 1 1 0x1b00 95 599598.9 30.01 4140.63 947831597080 1172218942121 1259530678701 2081753957 3588271036 0 2500341723712 47.4 50.1 60.2 80.0 90.8 125.2 90423705368650 90510720799952
linux 2 1 0x1b00 95 599787.4 30.01 4094.8 829590835562 1121199387494 1204823373675 2044416204 3736601309 0 2554967578903 48.0 50.5 60.9 80.8 91.9 128.0 90950651394794 91037666469794
linux 3 1 0x1b00 95 599909.9 30.01 4149.38 843595976522 1131212591480 1215548302387 2071200559 3951799608 0 2543933890729 47.7 50.3 60.6 80.8 91.8 126.9 91478183579017 91565198619551
linux 4 1 0x1b00 95 599625.6 30.01 4092.41 837415121577 1124578101845 1208308784756 2048292687 4264507942 0 2563631168997 46.8 49.5 59.7 79.7 90.2 124.8 92005628314054 92092644402886
linux 0 1 0x1b00 55 599849.5 30.01 3376.06 813794320744 1041389805428 1308631945326 1980338561 4419152530 0 2531122553131 51.6 54.7 70.7 155.0 1659.9 8928.0 92531525028181 92618541676349
linux 1 1 0x1b00 55 600036.8 30.01 3446.79 828782699479 1043966225939 1312231680584 1977180738 4886736321 0 2499419612481 51.2 54.1 70.7 162.5 1885.5 9042.9 93054518316084 93141539776621
linux 2 1 0x1b00 55 600065.1 30.01 3424.63 852677309981 1057646205188 1324941226268 1977251184 4566962630 0 2492764243561 51.1 54.0 70.1 150.8 1640.2 9185.5 93578329081663 93665345236179
linux 3 1 0x1b00 55 599976.1 30.01 3349.22 802046127221 1032206112302 1300175269362 1947415085 3946133182 0 2516200203569 51.3 54.3 70.7 162.4 1931.7 9123.3 94100826584373 94187842084416
linux 4 1 0x1b00 55 599910.8 30.01 3352.94 820561651490 1045282458461 1311905055904 1974247672 4453725286 0 2495896781395 51.0 53.8 70.0 146.4 1330.5 8816.6 94622793340224 94709809452695
linux 0 1 0x1900 135 200053.3 30.01 2823.33 387120600259 479709974315 556812103614 594601821 4018939596 0 1480355192185 45.4 46.1 51.5 59.9 63.8 71.4 95154874185130 95241889045915
linux 1 1 0x1900 135 200045.4 30.01 2870.53 389850406522 482028573311 559495724174 603374423 4374652378 0 1485410017755 45.9 46.9 52.9 61.1 64.9 72.2 95521307490512 95608322295765
linux 2 1 0x1900 135 200070.0 30.01 2872.01 320908184050 446915271358 518834316500 526309252 3093804941 0 1508305091890 45.6 46.3 52.1 60.1 64.3 72.1 95887618537490 95974634373242
linux 3 1 0x1900 135 200026.9 30.01 2899.84 313156078219 440798556220 511650465442 503094062 3101165054 0 1518665332175 45.7 46.5 52.4 60.3 64.5 72.0 96254673962213 96341688795358
